Book Reference No,Description,Material,Museum Reference No,Citation
84,Decorated block,Sandstone,SNM 31107,"84 Decorated block Sandstone Dokki Gel, foundation of the Napatan temple, no. DGT B 186 New Kingdom, 18th Dynasty, reign of Akhenaton (1352-1336 nc) L 530 mm, W 225 mm, Th 230mm SNM 31107 Belonging to the Aten Temple that Akhen- aton ordered to be erected on the foundations of the Temple of Thutmose IV, which he had first razed to the ground, this block was reused in the pavement of the Napatan temple. The block was cut to the dimensions specific to this construction material, which the villagers at Karnak have called talatat ever --- Page 115 ---"
86,Winged heart scarab,Green stone,SNM 31317,"86 Winged heart scarab Green stone Sai Island, Pharaonic Cemetery, SAC5 T.8 45 New Kingdom, 18th Dynasty L95 mm, W 55 mm,Th20mm SNM 31317 Winged heart scarab in dark green hard stone. The surface of its back is well polished. Details of the insect's body are represented by incised lines. On the flat side a hieroglyphic text runs horizontally from right to left, giving the name and title of the deceased and the beginning of Chapter 30B of the Book of the Dead. This object was part of the funerary equipment of an undisturbed burial, found in a secondary subterranean room of the tomb. It was located on the breast, over the position of the heart. When mummification was per- formed, the heart was generally kept inside the body. However, very often a stone amulet was added, first shaped in the form of the ancient Egyptian’s conventional representa- tion of the heart in hieroglyphic writing, and from the 18th Dynasty, in the form of a large scarab, one of the forms of the god Ra, named Khepri. Several spells of the Book of the Dead, Chapters 26-9, were intended to prevent the heart of a man from being stolen after his death. In Chapter 30B, used here, the heart itself, regarded as a real being, is called out not to testify against its owner at the moment of the Judgement. SUDAN: ANCIENT TREASURES A very similar heart scarab, now in the Cairo Museum, was discovered about fifty years ago by Steindorff in a New Kingdom tomb at Aniba, the most important site in Lower Nubia at this period (Steindorff 1937, 14, 88, 240-41 and pl. 48). FT Geus 2002, 126, pl. VIlIc; Minault-Gout and Thill in press; Thill 2004, in press"
87,Heart scarab with human head,Green stone,SNM 31356,"87 Heart scarab with human head Green stone Sai Island, Pharaonic Cemetery. SAC5 T.8 78 New Kingdom, 18th Dynasty L73 mm, W 45 mm, Th 20 mm SNM 31356 Human-headed, heart scarab in dark green hard stone. On the back the elytreas and pro- thorax are modelled in low relief. The head, sculpted in the round, represents a face with heavy features, surrounded by a short wig. The mixed form of this funerary amulet — the simple scarab and the ba-bird with human head — is one of the multiple aspects taken by the so-called ‘heart scarab’. All of them served the same function, revealed by the presence of the text of Chapter 30B of the Book of the Dead on similar inscribed objects. The present item is uninscribed. It was found in a subsidiary room of the tomb, on the chest of an aged man whose funerary equipment included an inscribed shabti bearing his name, a little scarab with royal iconography (cat. 94) and a ring (cat. 88). Its position, higher than the associated bones, suggests that the amulet was placed above the coffin and not inside, as was usually the case. Such human-headed heart scarabs are rather uncommon. A few others have been discovered in the same necropolis of Sai. as well as in the New Kingdom cemetery of Aniba in Lower Nubia (Steindorff 1937. pl. 48, no. 18; pl. 49, nos 20, 21). All of them belong to the 18th Dynasty. ET Minault-Gout and Thill in press; Thill 2004, in press 117 --- Page 119 --- SCAN: ANCIENT TREASURES ™ Signet ring ¢rum tai Island, Pharaonic Cemetery, SAC5 T.8 (94) wew Kingdom, 18th Dynasty ge? mm: signet: L15 mm. Willmm @M 31327 enger-ring made of a single piece of electrum old mixed with silver), with an ivory araboid set into it. The flat side of this saraboid bears a design representing a palm e topped with a terminal in the form of two ral palm leaves. The tree is flanked by two oresentations of mirrors. In hieroglyphic -ing the mirror is not only used as a pic- sram to evoke the object itself, but also to weresent a prophylactic symbol, for example we. which is read ankh, one of the most ‘mon amulets or written symbols in @ Ptian civilization. This is a good example the constant play with words and their wanings which is characteristic of the weroglyphic system, being at the same time wgraphic, syllabic and alphabetic. More- wer. it is interesting to observe that the wedles of mirrors were often made in the om of a palm-tree’s trunk. This finger-ring was discovered in situ, er the pelvis, when removing the skeleton an aged man whose burial was undis- ed. In burials of this period people were @ on their backs, with their arms slightly d and their hands crossed over the pubis. explains why rings, scarabs worn as wes. and bracelets are generally found we veen the thighs. This type of ring with a «et was rather uncommon and worn only portant people. The design of its inset is so uncommon, Only one scarab, found in 89.90 an early 18th-Dynasty tomb at Esna, shows a design approximately similar (Downes 1974, 11,,66,355). FT"
89,Pair of earrings,Carnelian,SNM 31328,"89 Pair of earrings Carnelian Sai Island, Pharaonic Cemetery. SAC5 T.8 (76 & 82) New Kingdom, 18th Dynasty D 14 mm, Th 2 mm and 3 mm SNM 31328 Two penannular earrings of almost identical size cut from a semi-precious red opaque stone. This type of undecorated ring is the most common form of earring in the New Kingdom. All people wore them, whatever their sex, age and social condition may have been. These types of object of daily use were buried with the deceased in order to be reused in the Underworld. Such earrings have been found principally in their owner's tomb, sometimes near the ears of the skeleton in the case of undisturbed inhumations. The two specimens shown here were discovered in a disturbed level of the same tomb; however. due to their similar measurements, they can surely be considered a pair. FET"
90,Barrel bead,Rock crystal,SNM 31329,"90 Barrel bead Rock crystal Sai Island, Pharaonic Cemetery, SAC5 T.8 (70) New Kingdom or Kushite (Napatan) L25mm,D 11mm SNM 31329 This sort of bead, generally flanked by two cylindrical or ball beads, was usually used as part of a very common necklace considered by Aldred to be a survival of the simplest charm strung upon a cord round the neck (Aldred 1971, 114). Jewellery and amulets are some- what difficult to distinguish functionally and a bead can have a certain amuletic value. This type of large bead was not characteristic of the New Kingdom period. Considering the context of discovery — a New Kingdom tomb reused in the Napatan period — this bead might be related to the latter period. Similar beads in carnelian or other semi-precious stone have been discov- ered in the Napatan cemetery of Sanam Abu Dom (Griffith 1923, pl. LXI, 4). FT"
91,Scarab,Faience,SNM 31326,"91 Scarab Faience Sai Island, Pharaonic Cemetery, SAC5 T.8 (72) New Kingdom L12mm, W 9mm, Th 6mm SNM 31326 On the back of this scarab the head and the legs of the beetle are sculpted in low relief, whereas the prothorax and the elytreas are incised. On the flat side several hieroglyphic signs are incised: in the centre, a probable short version of the coronation name of Thutmose III, Men-Ra, the missing part of the name, kheper, being substituted by the scarab itself, flanked by two symbols of life, ankh. Among the many amulets used by the living and deceased in ancient Egypt. those of beetle form, worn as a ring or as part ofa necklace or bracelet for wrists or ankles, are one of the most common at any time. A symbol of rebirth, like the sun which reap- pears each morning, its form was thought to protect its owner against evil and its most absolute manifestation, death. To increase the magic power of the amulet, its flat side was very often decorated with different patterns: hieroglyphic symbols, names or representa- tions of kings or gods, wishes, real or fabulous animals, floral or geometric designs, and --- Page 120 --- someti::::: when they had been used as seals, the naive 2nd titles of their owners. The thiree scarabs (cats 91-3), all from the same tomb, were found in a largely disturbed room and so cannot be related to any skeleton in particular. With regard to their style and inscription, two of them might be connected with the New Kingdom period (cats 91, 93) and one with the Napatan period (cat. 92). FT"
92,Scarab,Faience,SNM 31325,"92 Scarab Faience Sai Island, Pharaonic Cemetery, SAC5 T.8 (73) Kushite, Napatan period L13 mm, W8 mm, Th5mm SNM 31325a Coarse scarab with still-vivid colour. Details of the body and legs are very schematically represented by incised lines. On the flat side, three hieroglyphic signs are carved, unrecog- nizable except for the ankh, on the right, and the neb-sign — the basket - in the lower part. FT"
93,Scarab,Faience,SNM 31325,"93 Scarab Faience Sai Island, Pharaonic Cemetery, SAC5 T.8 (74) New Kingdom L12 mm, W9 mm, Th 5mm SNM 31325b Faience scarab faded in colour. On the back some incised lines show the separation between thorax and prothorax. The legs are modelled in low relief. On the flat side, three vertical hieroglyphic signs give the name of Amenhotep III, Neb-Maat-Ra, followed by the nefer-sign, symbol of goodness and beauty. FT"
94,Scarab,Glazed steatite,SNM 31325,"94 Scarab Glazed steatite Sai Island, Pharaonic Cemetery, SAC5 1.8 (81) New Kingdom, 18th Dynasty L27 mm, W 19mm, Th 11mm SNM 31325c Very well-cut scarab with some coloured pig- ments still remaining inside the inscribed fig- ures. The head and elytreas are carved in low relief. On the flat side a traditional picture of royal iconography is carved: the massacre of enemies. The version represented here shows the king walking, wearing the khepresh- crown, his right hand holding a large mace above his head. With the other hand he grips a 91, bottom right; 92, bottom left; 93, top right; 94, top left bound prisoner whose hands are tied behind his back. Protruding above the king's fore- head, we can see the most common attribute of divine and royal figures, the rearing cobra — the uraeus — connected with the cobra- goddess Wadjyt. It was thought to exterminate all evil, represented here by the prisoner. A second uraeus is pictured in the space between the arm and the leg of the king. This scarab was discovered in the same undisturbed burial as the human-headed heart scarab (cat, 87) and the signet ring (cat. 88), It had probably been hung around the neck of the deceased in the coffin. SUDAN: ANCIENT TREASURES Other scarabs bearing the same pattern, with some variants in the details of represeng tation, have been found in certain cemeterie in Lower Nubia, such as Dakka (Firth 1915, pls 39, 41), el-Riqa (Emery and Kira, 1935, 201, fig. 199) or another cemetery between Dakka and Qurta (Firth 1915, pls 36, 147). It seems that the first appearance of this theme might be dated to Thutmose III, a king who greatly enlarged Egyptian territory during the 18th Dynasty. During the next dynasty, this motif was reused significantly by another conquering king, Ramesses II. FT 119 --- Page 121 --- 120 SUDAN? ANCIENT TREASURES 95,96"
95,Figure vase in the forma fish,Ceramic,SNM 31319,"95 Figure vase in the forma fish Ceramic Sai, Pharaonic Cemetery, SAC5 t.8 (87) New Kingdom, 18th Dynasty L110 mm, W 70 mm,Th 50 mm SNM 31319 This small vase in the shape of a fish came from a grave which contained a burial pro- tected by the collapse of a vault: it was found together with the small, red burnished amphora (cat. 96) which seems to have been made by the same hand, some cosmetic vases in alabaster (cat. 97) and other objects dating to the first half of the 18th Dynasty. It is part of the category of pottery figure vases in moulded terracotta studied by J. Bourriau (1987, 85) and dated to the 18th Dynasty (from the beginning until Thutmose Ill). The fabric is fine, covered with a burnished red slip with details represented in black pigment. The body is made in two moulded parts joined manually; the dorsal and caudal fins were then added. The collar is represented by the open mouth of the fish. The vase was empty, without traces of any content. This fish is the tilapia nilotica that is so often represented, notably with lotuses in cups of blue faience, It has its place in a funeral context because it is a symbol of revival (Dambach and Wallert 1966, 276, 283-94. Desroches-Noblecourt 1954, 33-42). Well-known parallels offer variations in details and quality (Bourriau 1987, 89-90). In the context of the eastern cemetery of Deir el-Medina from where vases of the same group come, it was recently proposed that they would have belonged to members of the middle class (Pierrat-Bonnefois 2003, 59). In Nubia, however, such a vase would most likely have been seen as a luxury item. AM-G"
96,Amphora,Ceramic,SNM 31320,"96 Amphora Ceramic Sai, Pharaonic Cemetery, SACS t.8 (86) New Kingdom, 18th Dynasty H115mm,D 70mm SNM 31320 This small amphora was found together with the fish pot (cat. 95), which could be its mate, So similar are its style, material, and colour. It is also datable to the first half of the 18th Dynasty. The fabric is the same and it is cov- ered with the same red burnished slip, par- tially crackled. Its decoration is applied in black lines: the frieze of triangles on the lip, the horizontal line at the base of the collar, the sheets of palm stylized on the belly of the vessel, and the grids hung as nets on the han- dles. The shape of the vase was perhaps inspired by contemporary Cypriot vases, but it is incontestably Egyptian from Nubia, and illustrates that which J. ourriau (1987, 82-3) calls ‘a foreign fallacy’, in reference to the tendency of twentieth-century scholars to attribute to foreign (north and east) coun- tries all that was good and original in Egypt- ian pottery. This shape of amphora seems to appear during the reign of Hatshepsut aud lasts up to the Amarna period (Bourriau 1982b, 127). AM-G"
97,Small cup and kohl pots,Alabaster,SNM 31323,"97 Small cup and kohl pots a Kohl pot Alabaster Sai, Pharaonic Cemetery, SACS T.8 (90) New Kingdom, 18th Dynasty H57mm,D 56mm SNM 31323 b Kohl pot Alabaster Sai, Pharaonic Cemetery, SACS T.8 (91) New Kingdom, 18th Dynasty H 46 mm, D 53mm SNM 31322 c Small cup Alabaster Sai, Pharaonic Cemetery, SAC5 1.8 (89) New Kingdom, 18th Dynasty H 23 mm, D 74mm SNM 31321 d Kohl pot Alabaster Sai, Pharaonic Cemetery, SACS'T.8 (92) New Kingdom, 18th Dynasty H48 mm, D 66mm SNM 31324 These four vessels come from the same con- text as cats 95-6 and are datable to the first half of the 18th Dynasty. Kohl pots intended as containers or for the preparation of cosmetics could, like these, be made of Egyptian alabaster (calcite), but they could also be made from other stones, or wood, faience or ivory. They are frequently part of the equipment in Egyptian tombs (Vandier d'Abbadie 1972, 85-7). Kohl was used by both men and women to protect and outline the eyes. Black koh! was made from crushed galena and green kohl from malachite. Kohl, in a funerary context, was important because of — --- Page 122 --- 97a-d its use as make-up — notably, to the Eye of Horus which is referred to as early as the Pyra- mid Texts. The offering of make-up was equiva- lent to the offering of the Eye of Horus itself, and this was the symbol of resurrection (Troy 1991, 151). Moreover, kohl pots are often found close to the body of the deceased. The use of kohl pots becomes frequent in the Middle Kingdom. The three examples here are of a type that was current in the New Kingdom. These small vases are of a wide and squat shape and fit well within the hand. They have not retained any traces of contents, nor of any lid, and no pestle was found with them. The small cup doubtless served as a palette for the preparation of the make-up, although no residue of colour gives evidence of its use. AM-G"
98,Mask,Terracotta,SNM 31318,"98 Mask Terracotta Sai, Pharaonic cemetery, SACS T.8 (80) New Kingdom, 18th Dynasty H78 mm, W 72 mm SNM 31318 This small funerary mask, smaller than an actual human face, was found behind the skull of the skeleton of a woman in a grave where a number of objects dated to the first part of the 18th Dynasty (cats 95-7) were also found. Another mask, in plaster, from SUDAN: ANCIENT TREASURES the same cemetery is also presented here (cat. 288). The mask is of beautiful work, and made from a well-fired fabric. The face is triangular and finely featured. The eyes are almond- shaped, with the outline incised and the interior in relief; the eyebrows are very long and extend towards the temples; the nose and the lips are in relief, with a sharp profile. The lower half of the face is damaged: the top of the nose, the lips and the chin are worn but the features are preserved as well as a sweet smile similar to that of a kore; the reverse is slightly concave. The mask was placed directly on the face of the deceased and fixed with linen or stucco which completely enveloped the body. Such masks were moulded, painted and often covered with a golden sheet (Troy 1991, 65). Masks in stucco or terracotta are well known in the Nubian New Kingdom cemeter- ies, notably in Sai, in the cemeteries exca- vated by the Scandinavian expedition near the Second Cataract (Troy 1991, 64), Buhen (Randall-Maclver and Woolley 1911, 142, pl. 61) and in Aniba (Steindorff 1937, 73-4). Steindorff speculates that their small size was governed by the need of the Egyptian officials to transport them. Their latest use, in both Egypt and Nubia, dates to the end of the 18th or beginning of the 19th Dynasty (Troy 1991, 65). AM-G 121 --- Page 123 --- GOLD IN THE EASTERN DESERT ANGELO AND ALFREDO CASTIGLIONI"
