Book Reference No,Description,Material,Museum Reference No,Citation
103,FIGURAL ORNAMENTS,these small cut-out figures of ivory or,"Khartoum, National Museum 1239","103 FIGURAL ORNAMENTS

Mica; H. of individual figures 2-10 om, W. 1.39.7 cm
From Kerma, various tombs

Harvard University-HFA Boston Expedition, Kerma
Khartoum, National Museum 1239

A diverse world of animals is shown in
these small cut-out figures of ivory or
mica. Mica, a siliceous mineral includ-
ed in flaky layers within hard stones, is
found, among other places, in the
Wadi el-Hudi. While the ivory figures
served as inlays for pieces of furniture,
in particular for beds, the figures cut
out of mica were sewn onto caps and
other textiles. They were often discov-
ered in burials near the head of the
deceased. The selection of mica figures
includes both real animals and mytho-
logical creatures, for example, winged
giraffes, or the Egyptian goddess
Thoueris shown as a composite figure
with hippopotamus head, crocodile
back, and female human torso with
pendulous breasts. These figures are
almost identical to the ivory inlays, and
their similarity to the so-called magical
wands in Egypt suggests that they
served an apotropaic function, and
were intended to ward off evil.

Lit: GA. Reisner, Kerma WV, 272-80, pls. 57-60;
cf. Wenig, catalogue AiA II, 150-52, nos, 53-57;
catalogue Kerma: Royaume de Hubie (Geneva, 1990),
218-23, nos. 278, 282, 284, 294
"
105,Foot DECORATION FROH A BED,"Gold; H. 14.2 cm, W. 5.1 om, Th. 9.7 cm","Khartoum, National Museum 962","105 Foot DECORATION FROH A BED

Gold; H. 14.2 cm, W. 5.1 om, Th. 9.7 cm

From Kerma, Tum. X, tomb K 1035

Harvard University-MFA Boston Expedition, 1913-14,
field no. Su 739

Kerma

Khartoum, National Museum 962

Gold sheet, hammered and chased,
was used to decorate the four bovine
feet that supported Kerma beds.
Tooled, rivet-like nails secured the
metal onto the wood. Such beds
appear frequently in Classic Kerma
tombs. A second foot from the same
bed is now in Boston (MFA 13.3987).

Lit: G.A. Reisner, Kerma |-IIl, 327; VV, 225, 283,
pl. 69.2; catalogue Kerma: Royaume de Nubie
(Geneva, 1990), 219, no. 281
"
106,Foor FROM A BED,"graves at Kerma were of carved wood,","Khartoum, National Museum 1112","106 Foor FROM A BED

Glazed quartz; H. 15.2 cm,W. 6.3 cm, Th. 10.6 cm
From Kerma, Tum. III/3

Harvard University-HFA Boston Expedition,
Harch 1914, field no. 14-3-1239

Kerma

Khartoum, National Museum 1112

While the funerary beds in courtiers’
graves at Kerma were of carved wood,
those found in the royal tombs were of
stone which, like the others, were
carved to imitate bovine legs. The beds
might be emblematic of the heavenly
goddess in bovine form.

Lit: G.A. Reisner, Kerma J-III, 139; IVY, 50f.,
pl. 37.1 (right)

104
"
115,SPOUTED VESSEL,"Fired clay; H. 8 cm,","Khartoum, National Museum 25339","115 SPOUTED VESSEL

——_—————

Fired clay; H. 8 cm,

Diam. 10.9 cm,

W. (with spout) 14 cm

From Kerma, field

no. CET/128/5: 103

Kerma

Khartoum, National Museum 25339

A gently pointed spout protrudes just
below the rim of this semicircular
bowl.

Lit: Unpublished

109

Vi3/414
"
116,VESSEL,"Fired clay; H. 7.8 cm, Diam. 12.5 cm","Khartoum, National Museum 3927","116 VESSEL

—_——_——

Fired clay; H. 7.8 cm, Diam. 12.5 cm

From Kerma, Cemetery N, Tomb 81,

found in vessel KN 81/1

Harvard University—MFA Boston Expedition,
April 1914, field no. 16-4-1139

Kerma

Khartoum, National Museum 3927

This round-bottomed bowl bears a thin
blackened rim.

Lit: D. Dunham, Excavations at Kerma VI (Boston, 1982),
103, pl. XXXVb (third row, right)

--- Page 117 ---
1IS/116
"
117,Vesset,The highpoint of Kerma ceramics is,"Khartoum, National Museum 19085","117 Vesset

Fired day; H. 17.7 cm, Diam. 15.6 cm
From Ukma West, Tomb 110

Expédition archéologique en Nubie 1968-69
Field no. 21-H-4: 110/2
Kerma

Khartoum, National Museum 19085

The highpoint of Kerma ceramics is
embodied by extremely thin-walled,
almost weightless vessels with
extremely sharp rims and a blackened
surface area extending onto the body.
The metallic sheen often continues in
an iridescent zone over the red polish
of the lower portion.

Lit: A.Yila, Le Cimetiére kermaique d'Ukma ovest (Paris,
1987), 103, 190, fig. 214

THE FiAST KINGDOMS
"
118,Vesset,"Fired clay; H. 18 cm, Diam. 18.6 ¢ ———","Khartoum, National Museum 21995 Kerma 3 19962","118 Vesset
el! 119 SpoureD VESSEL
Fired clay; H. 18 cm, Diam. 18.6 ¢ ———

From Ukma West, Tomb 5 Fred cay 11.6 cm,
Expédition archéologique en Nubje 1969. Diam, 11.9 cm,

Field no. 21-H-4: 5/3 6 With sp) ma -
— From Kulb, field 9.

Khartoum, National Museum 21995 Kerma 3 19962

Khartoum, National Muse ics is WD
This globular pot has a shor ma ceramics is yp-
a widely protruding lip. Neck and The elegance ee out on ie ve
ifi e pol ent :
ali wide neck ar tends ust
truding lip. The nich is marked
_ ‘ shouldet al
with a ridge.

Lit: Vila, Le cimetiére kermaique, 43, fig 48) LITT B/S >

110

ND pt /

--- Page 118 ---
Th: KINGDOM OF KERMA

111

--- Page 119 ---
pat

4

120/121/122
"
132,Vesset,"Bichrome faience; H. 4.3 cm, Diam. 10.6 cm","130/131 Khartoum, National Museum 63/12/35","132 Vesset

Bichrome faience; H. 4.3 cm, Diam. 10.6 cm
From Debeira East, Tomb 176/39

Scandinavian Joint Expedition 1961-62,

field no. 176/39: |

New Kingdom, Eighteenth Dynasty, c. 1400 8.c.
130/131 Khartoum, National Museum 63/12/35

The interior of this vessel with flat base
and vertical walls is decorated against
the green faience glaze with a
sketched figure of the god Bes in a
striding posture, The Bes motif seems
to appear first in the reign of
Amenhotep Ill. It is therefore all the
more surprising that the tomb contain-
ing this imported vessel from Egypt still
shows characteristic elements of the
earlier local C-Group culture.

Lit: Leclant, Orientalia 32 (1963): 193, pl. XX, fig. 18;
Save-Soderbergh, Middle Nubian Sites, The Scandinavian
Joint Expedition 4.1 (Uddevalla, 1989), 205; 4.2, 10, pl. 62

130

--- Page 138 ---
EGYf: IN SUDAN
"
136,Mirror,"Bronze, electrum, traces of gilding; H. 27.7 cm,","Khartoum, National Museum 18595","136 Mirror

Bronze, electrum, traces of gilding; H. 27.7 cm,

W. 15.9 cm, Th. 3.5 cm

From Buhen, temple area in the Middle Kingdom fort
New Kingdom, Eighteenth Dynasty, c. 1400 8.c.
Khartoum, National Museum 18595

The small female figure which forms
the handle wears a conical headdress
into which the mirror’s disk is inserted.
She holds a small cat in her raised left
hand. Around her hips is a diagonally
striped belt, and the frontal areas of
both upper thighs show tattoos inlaid
with electrum. Earrings of gold proba-

bly once filled the holes drilled in the
earlobes. The mirror was most likely
dedicated (as was cat. 135) as a votive
offering in the temple of Buhen.

Lit: W. St. Smith, Ancient Egypt as Represented

in the Museum of Fine Arts, Boston (Boston, 1961),
120-21, fig. 72;W. K. Simpson, catalogue The Face of Egypt:
Permanence and Change in Egyptian Art (Katonah,

New York, 1977), 41, 68, no. 35

Lit.: Unpublished

135
"
137,AX BLADE,"Bronze; L. 11.9 cm, W. 8.2 cm, Th. 0.4 cm","Khartoum, National Museum 2469","137 AX BLADE

Bronze; L. 11.9 cm, W. 8.2 cm, Th. 0.4 cm

From Semna, Cemetery, Tomb § 537 (from Tomb S 5332)
Harvard University—MFA Boston Expedition,

April 1924, field no. 24-4-2

New Kingdom, Eighteenth Dynasty, c. 1450 B.c.
Khartoum, National Museum 2469

The motif of the raging lion attacking a
desert animal is a favorite metaphor for
the triumph of the Egyptian pharaoh
over the enemies of his kingdom. In this
ax blade from a tomb at Semna it is pos-
sible that the ibex, surprised by the royal
lion from behind, symbolizes the van-
quished Nubians. The piece shows work-
manship of high quality in its overall
composition, as well as in the lion’s mane
and the paralyzed expression of the ibex.

Lit. PM VII: 150; Dunham and Janssen, Second Cataract Forts
|, 87, pl. 129F, in situ pl. 106B
"
138,Daccer,"Bronze, wood; L. 41.2 cm, W. 5.15 cm,","Khartoum, National Museum 2468","138 Daccer

Bronze, wood; L. 41.2 cm, W. 5.15 cm,

Th. of blade 0.9 cm

From Semna, Fort, Room LVI

Harvard University—MFA Boston Expedition,
April 1924, field no. 24-4-1

New Kingdom, Eighteenth Dynasty,

c. 1400 ac.

Khartoum, National Museum 2468

The handle is inlaid with two wooden
halves or shells. The sheath holding the
blade has a small picture field on each
side. The central ridge of the blade is
decorated with a braided band pattern.
On one side, a Nubian is shown lying
on the ground; over him hovers a wide-
mouthed lion preparing to devour him.
The man wears the typical Nubian
short hairstyle and elaborately pat-
terned, ankle-length kilt. > >

--- Page 142 ---
138

EGYP

IN

SUDAN

135

--- Page 143 ---
The background is filled with floral
Ornaments. On the reverse, the same
image appears in symmetrical reflec-
tion, although an Asiatic takes the
place of the Nubian. The decoration of
this dagger thus became a metaphor
for Egypt's foreign policy and her
attempt to dominate her immediate
neighbors to the north and south.

Lit: PH Vil: 150; Dunham and Janssen, Second Cataract
Fort |, 28, pl. 1296; Yercouter, The Image of the Black
in Western Art (New York, 1976), 83f,, figs. 57, 58
"
173,STELA OF QUEEN TABIRY,"Granite; H. 30 cm, W. 20 cm, Th. 8 cm","Khartoum, National Museum 1901","173 STELA OF QUEEN TABIRY

Granite; H. 30 cm, W. 20 cm, Th. 8 cm

From Kurru, Tomb Ku 53 of Queen Tabiry, Chamber B
Harvard University—MFA Boston Expedition,

March 1919, field no. 19-3-1366

Twenty-fifth Dynasty, 740-713 B.c.

Khartoum, National Museum 1901

In adherence to Egyptian tradition, the
Kushites included funerary stelae as an
integral part of their burial equipment.
They were either erected before the
west wall of the offering chapel or
interred with the burial itself. The stela
of Queen Tabiry, a queen of King Piy
and daughter of Alara, the first ruler of
Napata, is our earliest example.
Beneath the lunette, in which Tabiry is
shown worshipping Osiris and Isis, nine

180

lines of offering prayer are inscribed in
ancient Egyptian. She bears the title
“first great king’s wife of the majesty
of Piy,” and the unusual epithet “great
(lady) of the foreigners.”

Lit: ACK I, 86f., 90 with fig. 29f, 144, pl. XXX.A; Eide,
Hagg, Pierce, and Tordk, Fontes Historiae Nubiorum |
(Bergen, 1994), 119f.
"
177,Amuter,"Faience; H. 8.8 om, W. 5.7 cm,","Khartoum, National Museum 690","177 Amuter

Faience; H. 8.8 om, W. 5.7 cm,
Th. 2.9 om

From Meroe

Oxford Excavations (J. Garstang)
1913

Napatan or Heroitic
Khartoum, National Museum 690

While bluish-green faience amulets are
known from isolated examples else-
where, they appear in the burials of
the royal cemetery of Kurru in consid-
erable quantity and are unusually large
in size. This amulet of a ram’s head
with sun-disk, around which runs a
band of uraei, was found at Meroe.

Lit: Wenig, catalogue AiA I, 184, no. 100

KINGS OF THE SACRED MOUNTAIN
"
